"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","471","Появление всплывающего окна с деталями ингредиента при клике на ингредиент","tests","2025-12-24","passed","2025-12-24","TestOrderCreation","test_order_creation_flow","",""
"","3850","Переключение вкладок: «Соусы» → «Начинки»","tests","2025-12-24","passed","2025-12-24","TestConstructor","test_constructor","",""
"","1729","Появление всплывающего окна с деталями заказа при клике на заказ в Ленте заказов","tests","2025-12-24","passed","2025-12-24","TestOrdersLine","test_orders_line","",""
"","13010","Заказ оформлен, его номер появляется в разделе ""В работе""","tests","2025-12-24","passed","2025-12-24","TestOrdersLine","test_orders_line","",""
"","22306","Успешный переход на страницу Сброс пароля после ввода почты и клика по кнопке «Восстановить» на странице Восстановления пароля.","tests","2025-12-24","passed","2025-12-24","TestRestorePassword","test_restore_password_flow","",""
"","1876","Выход авторизованного пользователя из системы и переход на страницу Авторизации по клику на кнопку «Выход» в Личном кабинете","tests","2025-12-24","passed","2025-12-24","TestProfilePage","test_profile_page_navigation","",""
"","3815","Заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»","tests","2025-12-24","passed","2025-12-24","TestOrdersLine","test_orders_line","",""
"","314","Переход неавторизованного пользователя на страницу Авторизации по клику на кнопку «Личный кабинет» в шапке страницы","tests","2025-12-24","passed","2025-12-24","TestProfilePage","test_profile_page_navigation","",""
"","11272","Счётчик ""Выполнено за всё время"" при создании нового заказа увеличивается","tests","2025-12-24","passed","2025-12-24","TestOrdersLine","test_orders_line","",""
"","960","Переход авторизованного пользователя в раздел История заказов по клику на кнопку «История заказов» в Личном кабинете","tests","2025-12-24","passed","2025-12-24","TestProfilePage","test_profile_page_navigation","",""
"","3701","Переключение вкладок: «Начинки» → «Булки»","tests","2025-12-24","passed","2025-12-24","TestConstructor","test_constructor","",""
"","1617","Переход неавторизованного пользователя на Главную страницу с Конструктором по клику на кнопку «Конструктор» в шапке страницы","tests","2025-12-24","passed","2025-12-24","TestOrderCreation","test_order_creation_flow","",""
"","2153","Активация поля Пароль при клике по кнопке Показать/скрыть пароль.","tests","2025-12-24","passed","2025-12-24","TestRestorePassword","test_restore_password_flow","",""
"","1344","Успешный переход на страницу Восстановления пароля по кнопке «Восстановить пароль» на на странице Авторизации.","tests","2025-12-24","passed","2025-12-24","TestRestorePassword","test_restore_password_flow","",""
"","2366","Переход авторизованного пользователя на страницу «Лента заказов» по клику на кнопку «Лента заказов» в шапке страницы","tests","2025-12-24","passed","2025-12-24","TestOrderCreation","test_order_creation_flow","",""
"","21566","Создание заказа авторизованным пользователем","tests","2025-12-24","passed","2025-12-24","TestOrderCreation","test_order_creation_flow","",""
"","895","Переход авторизованного пользователя на страницу Личный кабинет по клику на кнопку «Личный кабинет» в шапке страницы","tests","2025-12-24","passed","2025-12-24","TestProfilePage","test_profile_page_navigation","",""
"","1000","Переход авторизованного пользователя на Главную страницу с Конструктором по клику на кнопку «Конструктор» в шапке страницы","tests","2025-12-24","passed","2025-12-24","TestOrderCreation","test_order_creation_flow","",""
"","1355","Переход неавторизованного пользователя на страницу «Лента заказов» по клику на кнопку «Лента заказов» в шапке страницы","tests","2025-12-24","passed","2025-12-24","TestOrderCreation","test_order_creation_flow","",""
"","11225","Счётчик ""Выполнено за сегодня"" при создании нового заказа увеличивается","tests","2025-12-24","passed","2025-12-24","TestOrdersLine","test_orders_line","",""
"","2155","Переключение вкладок: «Булки» → «Соусы»","tests","2025-12-24","passed","2025-12-24","TestConstructor","test_constructor","",""
"","1547","При добавлении ингредиента в заказ, увеличивается каунтер данного ингредиента","tests","2025-12-24","passed","2025-12-24","TestOrderCreation","test_order_creation_flow","",""
"","619","Всплывающее окно с деталями ингредиента закрывается кликом по крестику","tests","2025-12-24","passed","2025-12-24","TestOrderCreation","test_order_creation_flow","",""
