"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3238","Заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»","tests","2025-12-24","passed","2025-12-24","TestOrdersLine","test_orders_line","",""
"","1333","Переход авторизованного пользователя на страницу «Лента заказов» по клику на кнопку «Лента заказов» в шапке страницы","tests","2025-12-24","passed","2025-12-24","TestOrderCreation","test_order_creation_flow","",""
"","328","Переход неавторизованного пользователя на страницу Авторизации по клику на кнопку «Личный кабинет» в шапке страницы","tests","2025-12-24","passed","2025-12-24","TestProfilePage","test_profile_page_navigation","",""
"","1621","Активация поля Пароль при клике по кнопке Показать/скрыть пароль.","tests","2025-12-24","passed","2025-12-24","TestRestorePassword","test_restore_password_flow","",""
"","2154","Переключение вкладок: «Булки» → «Соусы»","tests","2025-12-24","passed","2025-12-24","TestConstructor","test_constructor","",""
"","2377","Выход авторизованного пользователя из системы и переход на страницу Авторизации по клику на кнопку «Выход» в Личном кабинете","tests","2025-12-24","passed","2025-12-24","TestProfilePage","test_profile_page_navigation","",""
"","2678","Переключение вкладок: «Соусы» → «Начинки»","tests","2025-12-24","passed","2025-12-24","TestConstructor","test_constructor","",""
"","411","Появление всплывающего окна с деталями ингредиента при клике на ингредиент","tests","2025-12-24","passed","2025-12-24","TestOrderCreation","test_order_creation_flow","",""
"","10676","Счётчик ""Выполнено за сегодня"" при создании нового заказа увеличивается","tests","2025-12-24","passed","2025-12-24","TestOrdersLine","test_orders_line","",""
"","1226","Переход неавторизованного пользователя на страницу «Лента заказов» по клику на кнопку «Лента заказов» в шапке страницы","tests","2025-12-24","passed","2025-12-24","TestOrderCreation","test_order_creation_flow","",""
"","15487","Переключение вкладок: «Начинки» → «Булки»","tests","2025-12-24","broken","2025-12-24","TestConstructor","test_constructor","",""
"","16312","Успешный переход на страницу Сброс пароля после ввода почты и клика по кнопке «Восстановить» на странице Восстановления пароля.","tests","2025-12-24","broken","2025-12-24","TestRestorePassword","test_restore_password_flow","",""
"","206","При добавлении ингредиента в заказ, увеличивается каунтер данного ингредиента","tests","2025-12-24","passed","2025-12-24","TestOrderCreation","test_order_creation_flow","",""
"","1634","Появление всплывающего окна с деталями заказа при клике на заказ в Ленте заказов","tests","2025-12-24","passed","2025-12-24","TestOrdersLine","test_orders_line","",""
"","21354","Создание заказа авторизованным пользователем","tests","2025-12-24","passed","2025-12-24","TestOrderCreation","test_order_creation_flow","",""
"","10498","Счётчик ""Выполнено за всё время"" при создании нового заказа увеличивается","tests","2025-12-24","passed","2025-12-24","TestOrdersLine","test_orders_line","",""
"","11246","Заказ оформлен, его номер появляется в разделе ""В работе""","tests","2025-12-24","passed","2025-12-24","TestOrdersLine","test_orders_line","",""
"","1781","Переход неавторизованного пользователя на Главную страницу с Конструктором по клику на кнопку «Конструктор» в шапке страницы","tests","2025-12-24","passed","2025-12-24","TestOrderCreation","test_order_creation_flow","",""
"","1019","Всплывающее окно с деталями ингредиента закрывается кликом по крестику","tests","2025-12-24","passed","2025-12-24","TestOrderCreation","test_order_creation_flow","",""
"","16230","Успешный переход на страницу Восстановления пароля по кнопке «Восстановить пароль» на на странице Авторизации.","tests","2025-12-24","broken","2025-12-24","TestRestorePassword","test_restore_password_flow","",""
"","832","Переход авторизованного пользователя на Главную страницу с Конструктором по клику на кнопку «Конструктор» в шапке страницы","tests","2025-12-24","passed","2025-12-24","TestOrderCreation","test_order_creation_flow","",""
"","710","Переход авторизованного пользователя на страницу Личный кабинет по клику на кнопку «Личный кабинет» в шапке страницы","tests","2025-12-24","passed","2025-12-24","TestProfilePage","test_profile_page_navigation","",""
"","810","Переход авторизованного пользователя в раздел История заказов по клику на кнопку «История заказов» в Личном кабинете","tests","2025-12-24","passed","2025-12-24","TestProfilePage","test_profile_page_navigation","",""
